SK_ID_CURR,TARGET
100001,0.02772619
100005,0.14248087
100013,0.04023015
100028,0.02917189
100038,0.16550181
100042,0.02860799
100057,0.01142577
100065,0.03101010
100066,0.01291082
100067,0.07460865
100074,0.04005962
100090,0.03553130
100091,0.16684262
100092,0.10464401
100106,0.04889328
100107,0.14494527
100109,0.03864900
100117,0.03281747
100128,0.13629230
100141,0.02682218
100150,0.03201913
100168,0.00923108
100169,0.04239664
100170,0.31893867
100171,0.03599779
100172,0.12403884
100184,0.16600874
100187,0.06699501
100212,0.03316017
100222,0.04689651
100223,0.02783328
100232,0.00957024
100241,0.18668556
100245,0.01683326
100253,0.03279493
100256,0.08212288
100271,0.00715660
100278,0.29827218
100280,0.01535126
100306,0.19058005
100311,0.06897271
100312,0.01970031
100330,0.08613521
100331,0.01634211
100352,0.06924302
100358,0.07012992
100367,0.03050064
100382,0.09924244
100384,0.20507712
100385,0.05793890
100386,0.03309981
100399,0.04577378
100404,0.02990849
100416,0.01542802
100422,0.03160121
100426,0.03643922
100438,0.02438781
100444,0.12273061
100445,0.15778101
100446,0.07928098
100447,0.02520003
100450,0.22311799
100466,0.01176607
100483,0.01594749
100484,0.03415407
100494,0.04908497
100510,0.12214962
100512,0.01168477
100517,0.03785376
100548,0.03694663
100551,0.03357524
100552,0.06359156
100553,0.02026085
100561,0.11933503
100568,0.23874361
100569,0.01406184
100591,0.12031296
100592,0.01880796
100602,0.03814364
100607,0.09086506
100613,0.05869616
100617,0.08282917
100618,0.05801095
100622,0.03405740
100625,0.07194070
100677,0.13436716
100699,0.02179500
100702,0.41959976
100711,0.04433297
100729,0.12364833
100740,0.16742991
100744,0.14990804
100745,0.05555043
100747,0.09906536
100751,0.38196475
100752,0.04724683
100753,0.14053291
100754,0.33955748
100760,0.03592271
100762,0.10640401
100763,0.02146039
100765,0.01185062
100770,0.11446881
100772,0.03033342
100777,0.02093030
100791,0.01337181
100792,0.01340350
100797,0.02736982
100823,0.03962285
100826,0.02053974
100830,0.03270942
100836,0.18987969
100872,0.05373626
100910,0.06406935
100913,0.07072137
100918,0.02055416
100931,0.01079254
100952,0.03937103
100953,0.02105519
100965,0.24663202
100970,0.02276232
100982,0.16236334
100983,0.22396402
100984,0.04148328
100987,0.04986054
100997,0.04592393
100998,0.25245202
101002,0.04028016
101005,0.13196836
101008,0.38942956
101020,0.03246686
101021,0.08787908
101024,0.04301098
101025,0.20212265
101026,0.02953754
101031,0.01385141
101041,0.02462080
101051,0.00909457
101055,0.05131560
101056,0.17934886
101057,0.02224478
101064,0.01962122
101079,0.07081909
101087,0.02153278
101090,0.02354127
101092,0.09165763
101097,0.10369481
101099,0.01758315
101107,0.10177295
101118,0.02990094
101125,0.07652172
101126,0.01580579
101128,0.01340081
101136,0.04314033
101140,0.29238519
101149,0.06395133
101160,0.17776092
101169,0.28875186
101181,0.04615088
101186,0.01404680
101190,0.03723592
101193,0.07979180
101194,0.09983543
101198,0.22757777
101200,0.02750793
101204,0.01497609
101211,0.07068689
101213,0.04969816
101223,0.03515702
101225,0.12478666
101237,0.06099497
101243,0.11819910
101244,0.08209838
101258,0.01946617
101259,0.20769140
101268,0.14970286
101269,0.01802927
101271,0.03871888
101279,0.02613125
101281,0.29193881
101287,0.03736353
101292,0.02252506
101294,0.03238409
101296,0.11790768
101297,0.01655236
101299,0.03248593
101301,0.04556471
101305,0.07128769
101308,0.25562773
101318,0.01021153
101327,0.13892456
101329,0.01106140
101332,0.04409830
101337,0.02897021
101343,0.02665391
101345,0.02236275
101346,0.01574499
101353,0.02397807
101354,0.16026869
101355,0.18706893
101356,0.01796002
101362,0.07586725
101363,0.47461753
101365,0.01504127
101366,0.06500818
101367,0.20056088
101368,0.01667200
101374,0.12970345
101380,0.01450596
101383,0.02392444
101398,0.01708570
101399,0.20680674
101401,0.25346650
101412,0.03656992
101426,0.06290447
101427,0.42435942
101428,0.22841615
