SK_ID_CURR,TARGET
100001,0.37291630
100005,0.87698368
100013,0.41148713
100028,0.37576808
100038,0.89464830
100042,0.37983033
100057,0.03763733
100065,0.36355057
100066,0.08456859
100067,0.69785501
100074,0.50481622
100090,0.38934994
100091,0.90306002
100092,0.69570079
100106,0.53787840
100107,0.88706749
100109,0.51421273
100117,0.33507381
100128,0.81355724
100141,0.37298811
100150,0.37448581
100168,0.04446416
100169,0.48407415
100170,0.96614794
100171,0.52724065
100172,0.82737503
100184,0.85580050
100187,0.63783429
100212,0.38010730
100222,0.53911964
100223,0.33817178
100232,0.04364864
100241,0.88891396
100245,0.19530585
100253,0.34811198
100256,0.66312075
100271,0.03238513
100278,0.98256106
100280,0.10295128
100306,0.92843880
100311,0.67690777
100312,0.20233271
100330,0.77978724
100331,0.22047947
100352,0.73627197
100358,0.71318076
100367,0.29540535
100382,0.79107126
100384,0.89668968
100385,0.64339423
100386,0.39302237
100399,0.48886473
100404,0.35370270
100416,0.11196311
100422,0.33289907
100426,0.40336777
100438,0.34510633
100444,0.84921473
100445,0.86489952
100446,0.65061600
100447,0.26778002
100450,0.91615974
100466,0.10129971
100483,0.16627515
100484,0.33773068
100494,0.55779982
100510,0.84432157
100512,0.06993014
100517,0.45721818
100548,0.35769314
100551,0.46298842
100552,0.66037155
100553,0.16488003
100561,0.82366156
100568,0.96823036
100569,0.09881723
100591,0.81319820
100592,0.24355016
100602,0.41548783
100607,0.69616241
100613,0.64537407
100617,0.69850128
100618,0.66419786
100622,0.51484874
100625,0.69252075
100677,0.80590462
100699,0.30721254
100702,0.98968025
100711,0.42633074
100729,0.83430957
100740,0.91117426
100744,0.86301201
100745,0.55288614
100747,0.76047106
100751,0.98699260
100752,0.43308064
100753,0.86681268
100754,0.97669337
100760,0.41731379
100762,0.78333658
100763,0.27940256
100765,0.08565596
100770,0.77351949
100772,0.37255727
100777,0.24998205
100791,0.09469343
100792,0.07776741
100797,0.35757004
100823,0.46477847
100826,0.25366474
100830,0.38642635
100836,0.92312506
100872,0.62442682
100910,0.55595335
100913,0.65901747
100918,0.20056830
